# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  144       5.495586129922e-10       1.474826275344e-13      -5.962446627771e-12       9.107543646635e-16       3.989860596566e-12       6.983190070784e-13      -4.427387887167e-15 
  145       5.539669732080e-10       1.471902633095e-13      -5.984316842336e-12       9.244456013939e-16       3.911813655545e-12       6.876562174368e-13      -4.363498356122e-15 
  146       5.583570784506e-10       1.468355148101e-13      -6.003273151004e-12       9.382708693602e-16       3.835571571452e-12       6.771827886255e-13      -4.299072894330e-15 
  147       5.627278859096e-10       1.464191218553e-13      -6.019267478601e-12       9.522306136773e-16       3.761135708920e-12       6.669001129196e-13      -4.234157290216e-15 
  148       5.670783154726e-10       1.459419206568e-13      -6.032253099383e-12       9.663252573327e-16       3.688501003376e-12       6.568088248063e-13      -4.168797566585e-15 
  149       5.714072489250e-10       1.454048455596e-13      -6.042184676867e-12       9.805552006415e-16       3.617655804228e-12       6.469087817226e-13      -4.103039960990e-15 
  150       5.757135291495e-10       1.448089307834e-13      -6.049018303664e-12       9.949208207025e-16       3.548581718052e-12       6.371990447934e-13      -4.036930906082e-15 
  151       5.799959593251e-10       1.441553121634e-13      -6.052711541307e-12       1.009422470854e-15       3.481253451789e-12       6.276778595684e-13      -3.970517009976e-15 
  152       5.842533021267e-10       1.434452288913e-13      -6.053223460088e-12       1.024060480129e-15       3.415638655923e-12       6.183426367607e-13      -3.903845036606e-15 
  153       5.884842789246e-10       1.426800252563e-13      -6.050514678885e-12       1.038835152711e-15       3.351697767679e-12       6.091899329839e-13      -3.836961886082e-15 
  154       5.926875689837e-10       1.418611523865e-13      -6.044547404995e-12       1.053746767390e-15       3.289383854207e-12       6.002154314899e-13      -3.769914575056e-15 
